"Внутренний идентификатор";"Код товара";"Название товара";"Тип товара";Бренд;Артикул;Штрихкод;Категория;Ссылка;стиль;форма;"цвет арматуры";"материал арматуры";"цвет плафона";"материал плафона";ширина/диаметр;длина;высота;"тип лампы";"мощность общая";напряжение;"тип цоколя";"степень защиты ip";"цвет свечения";"место установки";"страна происхождения";коллекция;"Назначение помещения";"форма плафона";"лампы в комплекте";"вес коробки";"количество грузовых мест";"объем коробки";"площадь освещения";"размер коробки (ДхШхВ)";"световой поток";"Запрет для МП";"Полное наименование Denkirs";Инструкция;"3D модель";диммируемость;"материал декора";"угол рассеивания света";цветопередача;"мощность лампы";"количество ламп";"количество фаз";"тип монтажа";"способ крепления";"ies файл";выключатель;"вид управления";поворотный;"вид выключателя";"пульт управления";"датчик движения";особенности;подсветка;"монтажное отверстие (длина)";"монтажное отверстие (ширина)";магнитный;"регулировка по высоте";"управляется голосовыми помощниками";"управляется приложениями";"управляется экосистемами умного дома";"высота минимальная";"тип подвеса";"длина цепи";"монтажное отверстие (диаметр)";"протоколы связи";"цвет декора";"диапазон рабочих температур";"мощность выходная";"датчик освещенности";филамент;Видео;Картинка;Картинка;Картинка;Картинка;Картинка;Картинка;Картинка;Картинка;Картинка;Картинка;Картинка;Картинка;Картинка;Картинка;Картинка;Картинка
723064;723064;"Бра Denkirs DK5022-BK";Бра;Denkirs;DK5022-BK;4631169948399;"Свет для дома / Настенные бра";https://divine-light.ru/catalog/nastennye_i_bra/dk5022_bk_nastennyy_svetilnik_ip20_do_15_vt_led_2xgu10_chernyy_alyuminiy/;современный;овал;черный;алюминий;черный;алюминий;54;;300;LED;30;220;GU10;20;;"На стену";Словения;"Scope | СКОУП";гостиная;Цилиндр;Нет;0.566;1;0.007;3;320х67х320;;Нет;"Настенный светильник Denkirs DK5022-BK";;;;;;;15;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://img.divine-light.ru/1/645/001645644_800_800.jpg;https://img.divine-light.ru/1/645/001645649_800_800.jpg;https://img.divine-light.ru/1/645/001645650_800_800.jpg;https://img.divine-light.ru/1/645/001645645_800_800.jpg;https://img.divine-light.ru/1/645/001645646_800_800.jpg;https://img.divine-light.ru/1/645/001645647_800_800.jpg;https://img.divine-light.ru/1/645/001645648_800_800.jpg;;;;;;;;;
723065;723065;"Бра Denkirs DK5022-SG";Бра;Denkirs;DK5022-SG;4631169948405;"Свет для дома / Настенные бра";https://divine-light.ru/catalog/nastennye_i_bra/dk5022_sg_nastennyy_svetilnik_ip20_do_15_vt_led_2xgu10_matovoe_zoloto_alyuminiy/;современный;овал;"золото матовое";алюминий;"золото матовое";алюминий;54;;300;LED;30;220;GU10;20;;"На стену";Словения;"Scope | СКОУП";гостиная;Цилиндр;Нет;0.55;1;0.0015;3;60х80х310;;Нет;"Настенный светильник Denkirs DK5022-SG";;;;;;;15;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://img.divine-light.ru/1/645/001645651_800_800.jpg;https://img.divine-light.ru/1/645/001645656_800_800.jpg;https://img.divine-light.ru/1/645/001645657_800_800.jpg;https://img.divine-light.ru/1/645/001645652_800_800.jpg;https://img.divine-light.ru/1/645/001645653_800_800.jpg;https://img.divine-light.ru/1/645/001645654_800_800.jpg;https://img.divine-light.ru/1/645/001645655_800_800.jpg;;;;;;;;;
723091;723091;"Бра Denkirs DK5021-WH";Бра;Denkirs;DK5021-WH;4631169948351;"Свет для дома / Настенные бра";https://divine-light.ru/catalog/nastennye_i_bra/dk5021_wh_nastennyy_svetilnik_ip20_do_15_vt_led_gu10_belyy_alyuminiy/;современный;овал;белый;алюминий;белый;алюминий;54;;150;LED;15;220;GU10;20;;"На стену";Словения;"Scope | СКОУП";гостиная;Цилиндр;Нет;0.324;1;0.002;1;185х70х185;;Нет;"Настенный светильник Denkirs DK5021-WH";https://divine-light.ru/files/upload/instruction/denkirs/DK5021-WH.pdf;;;;;;15;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://img.divine-light.ru/1/645/001645638_800_800.jpg;https://img.divine-light.ru/1/645/001645643_800_800.jpg;https://img.divine-light.ru/1/645/001645639_800_800.jpg;https://img.divine-light.ru/1/645/001645640_800_800.jpg;https://img.divine-light.ru/1/645/001645641_800_800.jpg;https://img.divine-light.ru/1/645/001645642_800_800.jpg;;;;;;;;;;
732103;732103;"Бра Denkirs DK7505-BK";Бра;Denkirs;DK7505-BK;4631170485784;"Свет для дома / Настенные бра";https://divine-light.ru/catalog/nastennye_i_bra/dk7505_bk_cvetilnik_tros_v_opletke_flex_so_svetodiodom_5m_24v_dc_86w_360_3000k_ip20_chernyy/;современный;овал;черный;алюминий;белый;силикон;;5000;;LED;86;24;"встроенный светодиод";20;"белый (теплый)";;Словения;"Flex | ФЛЕКС";гостиная;Цилиндр;Да;2.6;1;0.0325;28;500х500х130;3850;Да;"Настенный светильник FLEX DK7505-BK";https://divine-light.ru/files/upload/instruction/denkirs/DK7505-BK.pdf;;Да;пластик;360;>90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://img.divine-light.ru/1/281/001281010_800_800.jpg;https://img.divine-light.ru/1/999/001024256_800_800.jpg;https://img.divine-light.ru/1/509/001509959_800_800.jpg;https://img.divine-light.ru/1/999/001024258_800_800.jpg;https://img.divine-light.ru/1/999/001024260_800_800.jpg;;;;;;;;;;;
732104;732104;"Бра Denkirs DK7506-BK";Бра;Denkirs;DK7506-BK;4631170485791;"Свет для дома / Настенные бра";https://divine-light.ru/catalog/nastennye_i_bra/dk7506_bk_podvesnoy_svetilnik_tros_v_opletke_flex_so_svetodiodom_24v_dc_31w_360_3000k_ip20_chernyy/;современный;овал;черный;алюминий;белый;силикон;;1800;;LED;31;24;"встроенный светодиод";20;"белый (теплый)";;Словения;"Flex | ФЛЕКС";гостиная;Цилиндр;Да;2.1;1;0.0219;10;410х410х130;770;Да;"Настенный светильник FLEX DK7506-BK";https://divine-light.ru/files/upload/instruction/denkirs/DK7506-BK.pdf;;Да;пластик;360;>90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://img.divine-light.ru/1/281/001281012_800_800.jpg;https://img.divine-light.ru/1/999/001024264_800_800.jpg;https://img.divine-light.ru/1/509/001509961_800_800.jpg;https://img.divine-light.ru/1/999/001024266_800_800.jpg;https://img.divine-light.ru/1/999/001024268_800_800.jpg;;;;;;;;;;;
732106;732106;"Бра Denkirs DK7502-BK";Бра;Denkirs;DK7502-BK;4631170485760;"Свет для дома / Настенные бра";https://divine-light.ru/catalog/nastennye_i_bra/dk7502_bk_cvetilnik_tros_v_opletke_flex_so_svetodiodom_2m_24v_dc_35w_360_3000k_ip20_chernyy/;современный;овал;черный;алюминий;белый;силикон;;2000;;LED;35;24;"встроенный светодиод";20;"белый (теплый)";;Словения;"Flex | ФЛЕКС";гостиная;Цилиндр;Да;1.84;1;0.0325;11;500х500х130;1540;Да;"Настенный светильник FLEX DK7502-BK";https://divine-light.ru/files/upload/instruction/denkirs/DK7502-BK.pdf;;Да;пластик;360;>90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://img.divine-light.ru/1/281/001281006_800_800.jpg;https://img.divine-light.ru/1/999/001024240_800_800.jpg;https://img.divine-light.ru/1/509/001509955_800_800.jpg;https://img.divine-light.ru/1/999/001024242_800_800.jpg;https://img.divine-light.ru/1/999/001024244_800_800.jpg;;;;;;;;;;;
764380;764380;"Бра Denkirs DK5072-SB";Бра;Denkirs;DK5072-SB;4631174862574;"Свет для дома / Настенные бра";https://divine-light.ru/catalog/nastennye_i_bra/dk5072-sb-bra-shine-wall-so-svetodiodom-d104-h68-ip20-3000k-3w-ra-90-satinirovannaya-latun-al_764380/;современный;круг;"сатинированная латунь";алюминий;"сатинированная латунь";алюминий;104;;68;"LED OSRAM";3;220;"встроенный светодиод";20;"белый (теплый)";"На стену";Словения;"SHINE WALL | ШАЙН УОЛЛ";гостиная;Цилиндр;;0.48;1;0.0019;1;155х130х95;180;Да;"Бра SHINE WALL DK5072-SB";"https://divine-light.ru/files/upload/instruction/denkirs/DK5072-SB/SHINE Wall DK5072.pdf";https://divine-light.ru/upload/3d/Denkirs/DK5072-SB.rar;;;36;>90;;;однофазный;накладной;"Монтажная пластина";https://divine-light.ru/files/ies/Denkirs/DK5072-SB.rar;;;;;;;;;;;;;;;;;;;;;;;;;;;https://img.divine-light.ru/1/607/001607994_800_800.jpg;https://img.divine-light.ru/1/408/001408692_800_800.jpg;https://img.divine-light.ru/1/408/001408694_800_800.jpg;https://img.divine-light.ru/1/607/001607995_800_800.jpg;https://img.divine-light.ru/1/408/001408696_800_800.jpg;https://img.divine-light.ru/1/408/001408698_800_800.jpg;https://img.divine-light.ru/1/408/001408700_800_800.jpg;https://img.divine-light.ru/1/408/001408702_800_800.jpg;https://img.divine-light.ru/1/408/001408704_800_800.jpg;https://img.divine-light.ru/1/408/001408706_800_800.jpg;;;;;;
764381;764381;"Бра Denkirs DK5072-DN";Бра;Denkirs;DK5072-DN;4631174862581;"Свет для дома / Настенные бра";https://divine-light.ru/catalog/nastennye_i_bra/dk5072-dn-bra-shine-wall-so-svetodiodom-d104-h68-ip20-3000k-3w-ra-90-temnyy-nikel-alyuminiy_764381/;современный;круг;"темный никель";алюминий;"темный никель";алюминий;104;;68;"LED OSRAM";3;220;"встроенный светодиод";20;"белый (теплый)";"На стену";Словения;"SHINE WALL | ШАЙН УОЛЛ";гостиная;Цилиндр;;0.48;1;0.0019;1;155х130х95;180;Да;"Бра SHINE WALL DK5072-DN";"https://divine-light.ru/files/upload/instruction/denkirs/DK5072-DN/SHINE Wall DK5072.pdf";https://divine-light.ru/upload/3d/Denkirs/DK5072-DN.rar;;;36;>90;;;однофазный;накладной;"Монтажная пластина";https://divine-light.ru/files/ies/Denkirs/DK5072-DN.rar;;;;;;;;;;;;;;;;;;;;;;;;;;;https://img.divine-light.ru/1/607/001607992_800_800.jpg;https://img.divine-light.ru/1/408/001408674_800_800.jpg;https://img.divine-light.ru/1/408/001408676_800_800.jpg;https://img.divine-light.ru/1/607/001607993_800_800.jpg;https://img.divine-light.ru/1/408/001408678_800_800.jpg;https://img.divine-light.ru/1/408/001408680_800_800.jpg;https://img.divine-light.ru/1/408/001408682_800_800.jpg;https://img.divine-light.ru/1/408/001408684_800_800.jpg;https://img.divine-light.ru/1/408/001408686_800_800.jpg;https://img.divine-light.ru/1/408/001408688_800_800.jpg;;;;;;
764328;764328;"Бра Denkirs DK5060-BK";Бра;Denkirs;DK5060-BK;4631174862055;"Свет для дома / Настенные бра";https://divine-light.ru/catalog/nastennye_i_bra/dk5060_bk_bra_orbit_ip20_3000k_led_10_vt_chernyy_matovyy_alyuminiy/;современный;круг;"черный матовый";алюминий;"черный матовый";алюминий;185;85;185;LED;10;220;"встроенный светодиод";20;"белый (теплый)";"На стену";Словения;"Orbit | ОРБИТ";гостиная;Круглый;;0.786;1;0.0058;3;220х220х120;660;Да;"Бра ORBIT DK5060-BK";"https://divine-light.ru/files/upload/instruction/denkirs/DK5060-BK/ORBIT DK5060.pdf";https://divine-light.ru/upload/3d/Denkirs/DK5060-BK.rar;;;180;>90;;;;;"Монтажная пластина";;;;;;;;;;;;;;;;;;;;;;;;;;;;https://img.divine-light.ru/1/270/001270364_800_800.jpg;https://img.divine-light.ru/1/270/001270366_800_800.jpg;https://img.divine-light.ru/1/270/001270368_800_800.jpg;https://img.divine-light.ru/1/270/001270370_800_800.jpg;https://img.divine-light.ru/1/273/001273310_800_800.jpg;https://img.divine-light.ru/1/333/001333902_800_800.jpg;https://img.divine-light.ru/1/333/001333904_800_800.jpg;;;;;;;;;
764329;764329;"Бра Denkirs DK5060-BK+SG";Бра;Denkirs;DK5060-BK+SG;4631174862062;"Свет для дома / Настенные бра";https://divine-light.ru/catalog/nastennye_i_bra/dk5060_bk_sg_bra_orbit_ip20_3000k_led_10_vt_chernyy_satinirovannoe_zoloto_alyuminiy/;современный;круг;черный;алюминий;"сатинированное золото";алюминий;185;;185;LED;10;220;"встроенный светодиод";20;"белый (теплый)";"На стену";Словения;"Orbit | ОРБИТ";гостиная;Круглый;;0.772;1;0.0058;3;220х220х120;660;Да;"Бра ORBIT DK5060-BK+SG";"https://divine-light.ru/files/upload/instruction/denkirs/DK5060-BK+SG/ORBIT DK5060.pdf";https://divine-light.ru/upload/3d/Denkirs/DK5060-BK+SG.rar;;;180;>90;;;;;"Монтажная пластина";;;;;;;;;;;;;;;;;;;;;;;;;;;;https://img.divine-light.ru/1/270/001270372_800_800.jpg;https://img.divine-light.ru/1/270/001270374_800_800.jpg;https://img.divine-light.ru/1/270/001270376_800_800.jpg;https://img.divine-light.ru/1/270/001270378_800_800.jpg;https://img.divine-light.ru/1/333/001333906_800_800.jpg;https://img.divine-light.ru/1/333/001333908_800_800.jpg;;;;;;;;;;
